Date,Time,PM25C,speed,standard deviation,Dew PointF,Humidity,PM25C,PrecipitationIn,Sea Level PressureIn,TemperatureF,VisibilityMPH,Wind SpeedMPH,Turnstile
4/21/10,12:00:00,16.1,8.377081226,3.453613536,41,36,13.7,0.00666667,29.8,69.1,10,3.5,3318
4/21/10,16:00:00,22.3,11.66870034,10.43946745,46.9,60,18.1,0.00666667,29.75,61,10,12.7,3821
4/21/10,20:00:00,13,10.62913289,4.112515612,48.9,80,13.4,0.03,29.79,55,10,8.1,1242
4/22/10,0:00:00,12.9,7.698970462,5.659565891,48,80,13.5,0.03,29.75,54,10,6.9,169
4/22/10,4:00:00,15.1,11.07212874,7.37962914,48.4333,87.3333,17.1,0.03,29.7433,52.1667,6.33333,5.4,2049
4/22/10,8:00:00,15.9,12.51047899,5.113383871,48,77,14.2,0.03,29.75,55,6,4.6,3400
4/22/10,12:00:00,8.1,5.822938405,4.227130743,44.1,40,9.7,0.03,29.67,69.1,10,3.5,3681
4/22/10,16:00:00,12,7.000495776,3.602102732,37,34,11.2,0.03,29.66,66,10,9.2,3931
4/22/10,20:00:00,9.7,9.497872885,5.812830909,37,38,0.9,0.03,29.71,63,10,8.1,1578
4/23/10,0:00:00,6.9,34.7941739,103.5859817,25,33,8,0.03,29.79,54,10,0.5,219
4/23/10,4:00:00,8.4,4.466218487,5.031831123,30,56,9.3,0.03,29.81,45,10,6.9,1964
4/23/10,8:00:00,1.3,9.410261543,2.164335174,32,52,4,0.03,29.87,48.9,10,6.9,3343
4/23/10,12:00:00,5.3,8.862695945,3.55956038,28.9,29,4.9,0.03,29.84,62.1,10,4.6,3484
4/23/10,16:00:00,8.4,11.27535066,9.203882456,23,19,11,0.03,29.82,66.9,10,8.1,4155
4/23/10,20:00:00,11.8,7.668346914,12.46836398,25,24,9.5,0.03,29.94,62.1,10,10.4,0
5/6/10,12:00:00,-2.3,34.39654821,115.0539963,54,48,14.5,0.11,29.7,75,10,12.7,3077
5/6/10,16:00:00,9.1,15.87998777,27.06576705,39,25,16.2,0.11,29.7,77,10,10.4,3891
5/6/10,20:00:00,7.4,7.154313414,4.854555143,33.1,25,18.4,0.11,29.83,71.1,10,9.2,1533
5/7/10,0:00:00,2.5,23.56601819,84.96651448,39.9,47,23,0.11,29.95,60.1,10,9.2,265
5/7/10,4:00:00,1.4,6.572390038,6.779416765,37,53,21,0.11,30,54,10,8.1,1135
5/7/10,8:00:00,0.9,10.18582967,3.769642078,37.9,53,27,0.11,30.02,55,10,3.5,3524
5/7/10,12:00:00,3.4,36.08279722,108.726144,39.9,35,9,0.11,29.99,69.1,10,6.9,3470
5/7/10,16:00:00,6.4,9.545926744,3.566003189,42.1,40,26.3,0.11,29.9,66.9,10,8.1,4003
5/7/10,20:00:00,14,8.447177692,3.822574215,48,64,36.4,0.11,29.83,60.1,10,4.6,0
5/8/10,0:00:00,7.6,6.287783111,3.933547532,45,57,33,0.11,29.77,60.1,10,5.8,529
5/8/10,4:00:00,7.2,9.751509869,6.260183853,52,83,27.6,0.11,29.59,57,10,4.6,524
5/8/10,8:00:00,16.1,9.513541667,5.098634651,54,75,26.6,0.11,29.52,62.1,10,0.5,1846
5/8/10,12:00:00,-0.6,6.698634573,4.697998594,57,61,8.2,0.01,29.46,71.1,10,11.5,2849
5/8/10,16:00:00,10.5,7.400450883,6.49884116,33.1,26,20,0.01,29.51,69.1,10,12.7,2716
5/8/10,20:00:00,9.8,7.27021236,2.95578962,35.1,42,23.8,0.01,29.65,57.9,10,12.7,1700
5/9/10,0:00:00,-0.3,8.542968551,6.592269764,28.9,44,1.7,0.01,29.75,50,10,19.6,548
5/9/10,4:00:00,1.3,11.70379603,6.236152094,26.1,46,5.4,0.01,29.83,46,10,13.8,348
5/9/10,8:00:00,-1.5,13.6,0.8,26.1,44,-0.7,0.01,29.9,46.9,10,10.4,1455
5/9/10,12:00:00,2.7,11.96129639,5.965150015,27,43,2.5,0.01,29.94,48.9,10,10.4,2213
5/9/10,16:00:00,3.7,9.944537173,4.652212123,28,41,8.6,0.01,29.98,51.1,10,11.5,1883
5/9/10,20:00:00,9.5,9.761358275,3.803786922,27,46,10.1,0.01,30.09,46.9,10,11.5,877
5/10/10,0:00:00,2.6,9.785848401,6.234915899,26.1,49,0.5,0.01,30.15,44.1,10,4.6,133
5/10/10,4:00:00,5.3,10.71203664,3.184114739,26.1,53,2.5,0.01,30.18,42.1,10,9.2,1637
5/10/10,8:00:00,-1.6,9.291383241,8.618139076,28.9,51,7.6,0.01,30.23,46,10,4.6,3159
5/10/10,12:00:00,3,9.440492025,2.80968563,21,26,7,0.01,30.19,55.9,10,11.5,3177
5/10/10,16:00:00,5.4,6.834515945,5.443436169,21.9,24,9.7,0.01,30.2,59,10,8.1,3625
5/10/10,20:00:00,10,8.579156339,5.690581142,19.9,26,6.2,0.01,30.3,54,10,9.2,1155
5/11/10,0:00:00,5,8.966495574,4.668300673,24.1,39,1.6,0.01,30.38,48,10,4.6,122
5/11/10,4:00:00,6.3,12.13928721,6.633764513,26.1,49,6.7,0.01,30.41,44.1,10,0.5,2091
5/11/10,8:00:00,2.7,7.231854867,4.334224116,30,48,5.7,0.01,30.44,48.9,10,3.5,3462
5/11/10,12:00:00,4.7,9.310153189,4.754083224,24.1,30,10,0.01,30.43,55,10,3.5,3223
5/11/10,16:00:00,7,12.56746245,5.165912263,30.9,41,17,0.01,30.33,54,10,0.5,3822
5/11/10,20:00:00,13.2,10.56095532,4.911143985,36,56,19,0.01,30.32,51.1,10,4.6,1265
5/12/10,0:00:00,7.3,10.44195608,3.498960956,43,86,10.7,0.02,30.28,46.9,7,3.5,154
5/12/10,4:00:00,1.6,11.88735833,3.248234963,43.8,98,6.3,0.03,30.215,44.35,8.5,10.4,1911
5/12/10,8:00:00,8.8,6.655612237,3.401949478,43.45,95,5.1,0.02,30.185,44.8,1.5,8.1,3402
5/12/10,12:00:00,0,6.901369724,3.195528256,46,97,5.5,0.01,30.15,46.9,2,8.1,2895
5/12/10,16:00:00,-2.3,8.005883902,4.378077573,44.7333,93,12.5,0.01,30.1733,46.5667,5.33333,8.06667,3554
5/12/10,20:00:00,4,8.809763469,6.576765534,45,93,11.1,0.01,30.2,46.9,10,5.8,1230
5/13/10,0:00:00,2,10.46927169,5.042458277,44.35,91.5,2.3,0.01,30.25,46.65,10,0.5,144
5/13/10,4:00:00,2.1,14.06665337,4.314080568,41,86,3.3,0.01,30.28,45,10,3.5,2072
5/13/10,8:00:00,9.5,7.865487851,5.851193922,37.9,61,6.7,0.01,30.35,51.1,10,6.9,3469
5/13/10,12:00:00,5.1,8.447037309,4.473577888,39.9,41,6,0.01,30.32,64,10,0.5,3351
5/13/10,16:00:00,7.4,9.952287998,6.876864738,39.9,38,5,0.01,30.26,66,10,5.8,4132
5/13/10,20:00:00,9.4,8.450354613,4.791594261,39,49,9.1,0.01,30.22,57.9,10,4.6,1718
5/14/10,0:00:00,6.8,9.176037592,3.718561703,37.9,49,7.7,0.01,30.19,57,10,6.9,257
5/14/10,4:00:00,10.8,9.766564329,5.268165006,48,75,13.8,0.01,30.13,55.9,10,5.8,1845
5/14/10,8:00:00,11.7,10.06081673,4.527417622,54,80,13.9,0.01,30.11,60.1,9,5.8,3354
5/14/10,12:00:00,23.7,8.549257468,2.973054596,60.1,66,19.7,0.01,30.05,72,10,5.8,3496
5/14/10,16:00:00,26.3,8.636842372,4.963183073,63,58,30.8,0.01,29.98,79,10,4.6,4138
5/14/10,20:00:00,23.2,8.04535215,6.171327275,64,71,15.1,0.01,29.94,73.9,10,9.2,0
5/22/10,0:00:00,16,8.357631062,5.543739469,55,78,12.5,0.01,30.19,62.1,10,5.8,597
5/22/10,4:00:00,6.9,10.82465525,5.738803868,54,87,7.7,0.01,30.2,57.9,10,5.8,576
5/22/10,8:00:00,12.1,13.59618701,6.638874935,55,78,11.9,0.01,30.26,62.1,9,5.8,2025
5/22/10,12:00:00,1.1,9.317390383,2.675542745,57,65,2.4,0.01,30.25,69.1,10,4.6,3458
5/22/10,16:00:00,8.2,8.346471596,4.166334276,54,57,7.1,0.01,30.21,70,10,3.5,3257
5/22/10,20:00:00,9.4,7.399319221,3.895553621,55.9,68,6.8,0.01,30.2,66.9,10,8.1,1986
5/23/10,0:00:00,9.5,9.405755593,6.446275835,54,72,10.6,0.01,30.21,63,10,6.9,625
5/23/10,4:00:00,10.1,12.03811591,11.3670812,57,93,8.8,0.01,30.19,59,7,5.8,343
5/23/10,8:00:00,6.7,16.27857143,10.30293376,57,90,8.5,0.01,30.24,60.1,9,10.4,1417
5/23/10,12:00:00,8.6,10.16263724,5.915006073,60.1,79,8.7,0.01,30.24,66.9,10,11.5,2655
5/23/10,16:00:00,10.5,8.742993012,5.767157011,61,75,14.6,0.01,30.21,69.1,10,6.9,2209
5/23/10,20:00:00,11,10.31470431,6.153519918,59.9,82,8.8,0.01,30.235,65.55,10,6.9,1000
5/24/10,0:00:00,4.2,10.26330032,5.770357641,57.9,86,3.8,0.01,30.24,62.1,10,6.9,176
5/24/10,4:00:00,7.1,6.39,5.132063425,57.9,93,5.8,0.01,30.23,60.1,5,8.1,1843
5/24/10,8:00:00,13,6.86610476,5.590394689,60.1,90,13.3,0.01,30.28,63,7,5.8,3238
5/24/10,12:00:00,12.9,8.669615984,2.386058587,62.1,76,20.2,0.01,30.3,70,10,6.9,3071
5/24/10,16:00:00,9.3,11.02793047,6.931669863,66,84,7.7,0.0166667,30.27,71.1,8,0.5,3673
5/24/10,20:00:00,9,10.09746468,5.140942135,61,81,8.3,0.0166667,30.26,66.9,10,4.6,1220
5/25/10,0:00:00,8.6,12.81476735,6.765926016,60.1,87,11.4,0.0166667,30.24,64,10,0.5,188
5/25/10,4:00:00,16.3,16.98780647,2.792548106,59,93,19.8,0.0166667,30.23,61,8,0.5,2060
5/25/10,8:00:00,9.1,11.97127991,4.883258809,62.1,81,10,0.0166667,30.24,68,8,0.5,3325
5/25/10,12:00:00,9.1,8.728786795,6.014462437,64.9,60,8.2,0.0166667,30.17,80.1,10,5.8,3310
5/25/10,16:00:00,3,7.978426078,4.262654975,59,56,4.1,0.0166667,30.13,75.9,10,4.6,4220
5/25/10,20:00:00,11.7,8.332793817,4.067360746,55.9,59,9.2,0.0166667,30.09,71.1,10,4.6,1505
5/26/10,0:00:00,6.9,11.88456598,5.288971319,57,65,8.8,0.0166667,30.03,69.1,10,5.8,226
5/26/10,4:00:00,10.9,13.89334614,6.777871203,59,78,12.1,0.0166667,29.96,66,10,4.6,2136
5/26/10,8:00:00,15.1,12.12,3.48,62.1,68,7.9,0.0166667,29.93,73,10,3.5,3440
5/26/10,12:00:00,13.8,9.138176896,4.172406848,63,42,13.5,0.0166667,29.84,89.1,10,4.6,3408
5/26/10,16:00:00,20,11.14211533,2.876228724,64,41,19.7,0.0166667,29.74,91,10,6.9,3670
5/26/10,20:00:00,28.6,10.01885227,3.735342457,66,51,20.9,0.0166667,29.71,86,10,5.8,1512
5/27/10,0:00:00,19.3,11.05968361,7.376271786,64.9,56,22.8,0.0166667,29.72,82,10,8.1,265
5/27/10,4:00:00,8.1,10.34205882,1.601124902,60.1,64,12.9,0.0166667,29.76,73,10,4.6,1965
5/27/10,8:00:00,8.6,10.1,8.873556221,62.4333,82.3333,7.7,0.0166667,29.8467,68,9.66667,8.83333,3397
5/27/10,12:00:00,5.5,8.748333793,4.672826891,59,66,6.4,0.0166667,29.86,71.1,10,3.5,3331
5/27/10,16:00:00,-1.5,9.419140796,6.20953196,55,61,2.4,0.0166667,29.83,69.1,10,5.8,3794
5/27/10,20:00:00,5.4,8.042311915,2.992403425,55,93,2.2,0.02,29.88,57,10,3.5,1452
5/28/10,0:00:00,3.9,10.00218415,4.49260165,51.1,84,6,0.02,29.91,55.9,10,0.5,297
5/28/10,4:00:00,7.4,11.7564891,6.00137021,48.9,72,6.4,0.02,29.94,57.9,10,0.5,1484
5/28/10,8:00:00,2.5,6.578254044,4.579835644,52,65,8.5,0.02,29.97,64,10,0.5,3033
5/28/10,12:00:00,7.8,9.708665949,7.478458956,53.1,59,9.4,0.02,29.98,68,10,4.6,3914
5/28/10,16:00:00,3.6,10.27882523,6.099896758,53.1,63,7.7,0.02,29.96,66,10,4.6,3578
5/28/10,20:00:00,7.4,8.797074576,3.901265822,55.9,78,6.6,0.02,29.98,63,10,5.8,0
5/29/10,0:00:00,1.4,9.126936928,4.353318289,55,78,3.2,0.02,29.99,62.1,10,5.8,479
5/29/10,4:00:00,4,11.96424262,8.958658123,55,75,5.1,0.02,29.95,63,10,5.8,442
5/29/10,8:00:00,2.9,11.31953572,4.394294548,59,81,5.4,0.02,29.97,64.9,10,10.4,1723
5/29/10,12:00:00,6.4,10.48875639,5.142236944,61,66,6.9,0.02,29.91,73,10,4.6,2614
5/29/10,16:00:00,12.1,9.617062524,5.90577611,64,69,14.2,0.02,29.86,75,10,9.2,2369
5/29/10,20:00:00,25.2,9.792106378,3.131737025,63,71,26.8,0.02,29.86,73,10,0.5,1521
5/30/10,0:00:00,21,10.44599754,5.714482734,63,75,20.9,0.02,29.83,71.1,10,4.6,508
5/30/10,4:00:00,11.1,13.19594156,7.532179106,60.1,76,8.8,0.02,29.83,68,10,5.8,324
5/30/10,8:00:00,0.4,12.70645161,1.093548387,57,59,2.4,0.02,29.89,72,10,5.8,1343
5/30/10,12:00:00,3.5,12.09567232,3.744378974,53.1,38,-1.4,0.02,29.88,81,10,6.9,2497
5/30/10,16:00:00,4.5,11.26444444,4.263639841,54,35,7.2,0.02,29.86,84,10,4.6,1987
5/30/10,20:00:00,15,8.659376289,3.965222299,53.1,40,13.5,0.02,29.9,79,10,4.6,1219
5/31/10,0:00:00,10.7,9.955530615,4.414042626,55.9,55,10,0.02,29.94,73,10,3.5,358
5/31/10,4:00:00,15.4,6.853146115,5.712293242,57,59,13,0.02,29.96,72,10,0.5,345
5/31/10,8:00:00,11.2,18.23907336,14.2663223,61,56,14.8,0.02,30,78.1,10,3.5,891
5/31/10,12:00:00,19.8,8.894207459,5.163609495,61,47,20.3,0.02,29.99,82.9,10,9.2,2122
5/31/10,16:00:00,24.7,72.627679,261.8404643,64,58,26.9,0.02,29.95,80.1,10,8.1,2019
5/31/10,20:00:00,28.1,9.244557203,5.045533041,64.9,81,23.6,0.02,29.93,71.1,10,3.5,900
6/1/10,0:00:00,21.5,11.58535818,6.221540705,64.9,87,9.4,0.02,29.91,69.1,6,0.5,149
6/1/10,4:00:00,23.6,9.12281961,2.49467406,64,93,9.2,0.02,29.86,66,4,0.5,2014
6/1/10,8:00:00,9.5,9.980847552,4.445567302,66.9,74,10.6,0.02,29.81,75.9,10,5.8,3208
6/1/10,12:00:00,4.4,8.375468655,3.637270982,66,53,9.6,0.02,29.75,84.9,10,6.9,3062
6/1/10,16:00:00,18.3,6.257948494,3.920358681,68,69,15.9,0.02,29.72,79,10,8.1,3723
6/1/10,20:00:00,11.3,8.690304065,1.420143552,66,76,15.4,0.02,29.78,73.9,10,0.5,1166
6/2/10,0:00:00,6.7,11.40326903,5.738794169,64.9,81,5.8,0.02,29.81,71.1,10,6.9,210
6/2/10,4:00:00,4.1,9.666666667,6.333333333,61,73,6.9,0.02,29.84,70,10,4.6,2181
6/2/10,8:00:00,8.6,9.227777778,3.672222222,57.9,57,3.9,0.02,29.88,73.9,10,0.5,3419
6/2/10,12:00:00,9.2,8.118662487,3.345999422,52,33,8.7,0.02,29.84,84,10,3.5,3405
6/2/10,16:00:00,4.9,8.187107251,4.718769475,60.1,49,12.9,0.02,29.79,81,10,6.9,4864
6/2/10,20:00:00,28.6,154.5240677,755.4655582,63,71,12.8,0.02,29.78,73,10,3.5,1694
6/3/10,0:00:00,8.8,11.96386936,4.94713881,64,90,8.6,0.02,29.75,66.9,10,0.5,236
6/3/10,4:00:00,15.2,4.2225,3.532070038,64.9,90,8.1,0.02,29.71,68,9,4.6,2084
6/3/10,8:00:00,11.7,5.420862007,3.826319784,66,79,7.1,0.02,29.73,73,8,0.5,3196
6/3/10,12:00:00,16.8,9.736345384,5.390915274,66.9,55,3.2,0.02,29.68,84.9,10,6.9,3385
6/3/10,16:00:00,13.5,8.328192699,5.503284301,62.1,44,8.3,0.02,29.65,86,10,9.2,3755
6/3/10,20:00:00,22,9.017446949,4.354551674,62.1,52,14.5,0.02,29.7,81,10,3.5,1401
6/4/10,0:00:00,12,11.86609819,4.767456983,64,60,20.7,0.02,29.73,79,10,0.5,271
6/4/10,4:00:00,11.5,11.21378416,3.621532612,63,71,28.2,0.02,29.75,73,10,0.5,1983
6/4/10,8:00:00,8.7,9.37267457,1.996329233,64,64,24.1,0.02,29.82,77,10,6.9,3310
6/4/10,12:00:00,13.9,8.662732049,3.635001446,61,44,19.1,0.02,29.81,84.9,10,0.5,3739
6/4/10,16:00:00,25.9,11.07769779,14.81759438,64.9,54,26.8,0.02,29.78,82.9,10,4.6,3753
6/4/10,20:00:00,29.8,8.952408008,11.78526576,66,60,25.5,0.02,29.78,81,10,3.5,0
6/5/10,0:00:00,21.8,8.932105451,4.817568887,68,71,0,0.02,29.77,78.1,10,5.8,610
6/5/10,4:00:00,22.2,14.55791712,12.06375619,68,76,0,0.02,29.71,75.9,10,11.5,601
6/5/10,8:00:00,9.2,9.027280482,7.459642499,66.9,66,0,0.02,29.71,79,9,6.9,1922
6/5/10,12:00:00,16,9.664083846,4.060957694,64,49,-0.6,0.02,29.68,84.9,10,8.1,2987
6/5/10,16:00:00,15.3,9.364870499,3.642895975,66,55,9.3,0.02,29.66,84,10,10.4,2727
6/5/10,20:00:00,22.7,7.918631912,3.267379864,66,58,7.2,0.02,29.67,82,10,6.9,1926
6/6/10,0:00:00,17.3,7.949989052,4.178229953,66.9,64,7.9,0.02,29.65,80.1,10,4.6,615
6/6/10,4:00:00,15.9,10.47571581,6.566590221,66.9,74,14.8,0.02,29.61,75.9,10,4.6,348
6/6/10,8:00:00,9.6,11.93712603,8.774025407,68,74,14.8,0.02,29.54,77,10,8.1,1365
6/6/10,12:00:00,6.4,12.4465195,4.897232007,66.9,49,9.4,0.02,29.4,88,10,13.8,2532
6/6/10,16:00:00,9.1,10.30403466,3.081074489,67.1,76,-3.5,0.02,29.415,75.1,6,10.95,2174
6/6/10,20:00:00,-3.1,9.397243855,3.446846474,53.1,51,-3.5,0.02,29.55,72,10,9.2,1064
6/7/10,0:00:00,-3.3,19.22686556,38.40062391,46,58,27.6,0.02,29.68,61,10,9.2,155
6/7/10,4:00:00,1.2,10.2064548,5.978524088,45,62,28.4,0.02,29.74,57.9,10,6.9,1376
6/7/10,8:00:00,-1.6,7.400870004,4.52795739,44.1,52,14.3,0.02,29.82,62.1,10,9.2,3318
6/7/10,12:00:00,3.2,8.807366936,4.190980392,37.9,28,14.1,0.02,29.83,73,10,11.5,3177
6/7/10,16:00:00,2.9,10.24668783,7.259039367,39,29,37.4,0.02,29.84,73,10,11.5,3820
6/7/10,20:00:00,9.1,9.944838796,10.03810741,37.9,32,28.2,0.02,29.91,69.1,10,3.5,1272
6/8/10,0:00:00,0.5,9.687810202,4.064878581,43,46,17,0.02,29.96,64,10,5.8,151
6/8/10,4:00:00,2,13.92828856,6.21308807,41,49,0,0.02,29.99,60.1,10,4.6,2122
6/8/10,8:00:00,-2.7,10.3514758,4.94604524,45,53,0,0.02,30.04,62.1,10,6.9,2990
6/8/10,12:00:00,0.6,9.233348098,5.92915358,37,29,0,0.02,30.04,71.1,10,5.8,3249
6/8/10,16:00:00,1.6,8.563444408,3.572997808,37.9,29,0,0.02,30.05,72,10,6.9,4006
6/8/10,20:00:00,7.3,9.284570797,4.151735991,37.9,34,0,0.02,30.1,66.9,10,5.8,1506
6/9/10,0:00:00,4.6,7.172043317,5.008361415,42.1,50,7.6,0.02,30.14,61,10,3.5,184
6/9/10,4:00:00,10,11.72685185,7.753762141,46.9,69,10.1,0.02,30.14,57,10,0.5,2124
6/9/10,8:00:00,6,9.973121243,4.197484181,48.9,54,0.5,0.02,30.14,66,10,4.6,3616
6/9/10,12:00:00,8,6.752279366,3.110672565,48.9,54,10.8,0.02,30.08,66,10,6.9,3271
6/9/10,16:00:00,9.3,5.859399004,4.134808726,57.55,95,15.1,0.025,29.99,59,3.5,6.95,3628
6/9/10,20:00:00,7.5,7.694335825,3.579644155,56.5667,97.5,9.8,0.03,29.945,57.3167,2.55,6.05,1231
6/10/10,0:00:00,0.5,11.12911834,3.717564342,57,97,6.1,0.01,29.84,57.9,6,5.8,153
6/10/10,4:00:00,4.3,12.50134906,4.235266697,57,97,2.4,0.01,29.83,57.9,6,6.9,1920
6/10/10,8:00:00,12.3,5.159808425,4.062462859,59.6,92.6667,-3.1,0.01,29.88,61.8333,6,2.26667,3476
6/10/10,12:00:00,16.8,7.670756587,4.08889093,61,78,3.8,0.01,29.85,68,10,4.6,3213
6/10/10,16:00:00,10.7,7.853330302,6.71705477,64,73,7.2,0.01,29.81,73,7,5.8,3828
6/10/10,20:00:00,4,26.11448035,108.2511686,64.675,90.25,6.2,0.1925,29.915,67.725,4.2,3.025,1697
6/11/10,0:00:00,1.9,10.29654662,5.050407414,52,70,5.2,0.1925,30,62.1,10,4.6,265
6/11/10,4:00:00,5.2,9.907470709,6.286366724,53.1,81,10.6,0.1925,30.04,59,10,0.5,1954
6/11/10,8:00:00,6.2,9.525723423,2.965804282,55.9,75,2.6,0.1925,30.14,64,10,8.1,3205
6/11/10,12:00:00,3.8,7.719064828,5.720140547,57,70,7.1,0.1925,30.17,66.9,10,3.5,3697
6/11/10,16:00:00,3.6,9.58596841,4.177739203,57,65,10,0.1925,30.14,69.1,10,9.2,3982
6/11/10,20:00:00,8.3,8.959736454,4.091639586,57,81,7.6,0.1925,30.17,63,10,4.6,0
6/12/10,0:00:00,5.9,8.826043827,5.835961182,57.9,90,8.9,0.1925,30.16,61,10,0.5,652
6/12/10,4:00:00,8.5,9.889197454,6.654421554,57.55,89,5.1,0.1925,30.14,60.9,9.5,5.2,1695
6/12/10,8:00:00,10.1,32.52672637,61.48564829,59,80.5,7.6,0.1925,30.15,65.2,8,7.5,907
6/12/10,12:00:00,12.3,8.806273339,3.553280223,61,70,5,0.1925,30.05,71.1,10,4.6,3416
6/12/10,16:00:00,12.2,14.23141069,31.74777661,64.9,62,8.8,0.1925,29.96,79,10,5.8,3249
6/12/10,20:00:00,19.5,8.167700967,3.961266965,62.1,73,9.7,0.1925,29.92,71.1,10,3.5,1946
6/13/10,0:00:00,17.8,8.313771324,6.547874373,63,73,17.2,0.1925,29.88,72,10,4.6,656
6/13/10,4:00:00,10.1,9.819237286,6.119840659,62.1,81,10.3,0.1925,29.86,68,10,6.9,564
6/13/10,8:00:00,8.4,12.2474065,4.284087157,62.8,83.5,8.5,0.1925,29.895,68,9.5,6.95,672
6/13/10,12:00:00,18,9.514115083,5.118161579,64.2667,70.3333,22.8,0.1925,29.88,74.5333,9.66667,6.93333,2395
6/13/10,16:00:00,11.6,10.92070127,4.98636191,66.6167,89.8333,15.7,0.03,29.8733,69.6833,2.41667,4.6,1821
6/13/10,20:00:00,9.3,7.7833333,4.940896455,66.16,93.8,12.5,0.158,29.868,68,2.86,2.62,854
6/14/10,0:00:00,6.2,11.59808383,6.425476981,64.2667,99,6.7,0.158,29.8967,64.5667,3,3.86667,172
6/14/10,4:00:00,10,9.423542941,6.145273333,62.7,94.5,7.5,0.01,29.8775,64.3,3.25,0.5,1147
6/14/10,8:00:00,13.4,9.805770047,6.068674213,63,90,19.8,0.01,29.87,66,9,0.5,3209
6/14/10,12:00:00,19.1,7.968930345,4.438310526,65.65,79.5,22.1,0.01,29.86,72.3,5,0.5,2433
6/14/10,16:00:00,25,9.061030792,4.366602321,66,69,24.2,0.01,29.81,77,10,9.2,3546
6/14/10,20:00:00,23.2,11.68654017,3.828322663,64.9,81,25.3,0.01,29.83,71.1,7,0.5,1138
6/15/10,0:00:00,7.1,9.952491119,5.512958177,64.9,81,6.8,0.01,29.9,71.1,10,3.5,163
6/15/10,4:00:00,-1.2,10.54818718,3.028542741,57,73,0.4,0.01,29.98,66,10,8.1,2879
6/15/10,8:00:00,7.5,9.768525734,2.920362856,53.1,57,5.3,0.01,30.06,69.1,10,6.9,2607
6/15/10,12:00:00,11.4,6.550887611,2.440581907,46.9,32,11,0.01,30.09,79,10,5.8,3461
6/15/10,16:00:00,7.2,7.035146303,5.651267934,48,37,11.1,0.01,30.09,75.9,10,5.8,3905
